{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 0, 'sift__nOctaveLayers': 3}, 0.23399138790360846
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 0, 'sift__nOctaveLayers': 4}, 0.23160900023028272
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 0, 'sift__nOctaveLayers': 5}, 0.24488696470038077
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 100, 'sift__nOctaveLayers': 3}, 0.24117149026708007
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 100, 'sift__nOctaveLayers': 4}, 0.22306151707067884
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 100, 'sift__nOctaveLayers': 5}, 0.23660743043027543
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 500, 'sift__nOctaveLayers': 3}, 0.23399138790360846
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 500, 'sift__nOctaveLayers': 4}, 0.23160900023028272
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 500, 'sift__nOctaveLayers': 5}, 0.24488696470038077
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 3}, 0.2338095907701514
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 4}, 0.23335655269538053
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 5}, 0.24343600591806017
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 3}, 0.23787442197243464
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 4}, 0.22459261057223934
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 5}, 0.23591403735469973
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 3}, 0.23349216118727018
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 4}, 0.23318340416610975
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 5}, 0.24457372967292001
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 3}, 0.2340344090447936
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 4}, 0.2334053613127139
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 5}, 0.244230177573737
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 3}, 0.23805736883182993
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 4}, 0.2250920188073028
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 5}, 0.23575648791283607
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 3}, 0.23323248385916928
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 4}, 0.23340236876201467
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 5}, 0.24487105831396475
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 0, 'sift__nOctaveLayers': 3}, 0.33657602136619186
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 0, 'sift__nOctaveLayers': 4}, 0.32732421428978836
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 0, 'sift__nOctaveLayers': 5}, 0.33557869591603434
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 100, 'sift__nOctaveLayers': 3}, 0.3230696875829951
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 100, 'sift__nOctaveLayers': 4}, 0.32668708375587296
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 100, 'sift__nOctaveLayers': 5}, 0.3272311225184832
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 500, 'sift__nOctaveLayers': 3}, 0.3364740078573849
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 500, 'sift__nOctaveLayers': 4}, 0.3331921134192567
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 500, 'sift__nOctaveLayers': 5}, 0.33838694698504035
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 3}, 0.332997116613528
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 4}, 0.32589326141092245
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 5}, 0.33233898593252137
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 3}, 0.33265607529787283
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 4}, 0.32092543348585656
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 5}, 0.325036971469186
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 3}, 0.3359940787130471
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 4}, 0.3245477456015447
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 5}, 0.3314450127639051
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.001, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 3}, 0.30027390901820034
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.001, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 4}, 0.2980915501344629
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.001, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 5}, 0.3014412699635893
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.001, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 3}, 0.3050404243195732
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.001, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 4}, 0.2977686793198963
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.001, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 5}, 0.2975499265407356
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.001, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 3}, 0.2833496855623265
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.001, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 4}, 0.30169460332302356
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'rbf', 'svm__gamma': 0.001, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 5}, 0.30298743320521454
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 0, 'sift__nOctaveLayers': 3}, 0.2259142044809291
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 0, 'sift__nOctaveLayers': 4}, 0.23040197863199544
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 0, 'sift__nOctaveLayers': 5}, 0.23550994426438382
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 100, 'sift__nOctaveLayers': 3}, 0.23262087765752643
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 100, 'sift__nOctaveLayers': 4}, 0.22425766241752804
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 100, 'sift__nOctaveLayers': 5}, 0.2271099414488429
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 500, 'sift__nOctaveLayers': 3}, 0.22564149748746737
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 500, 'sift__nOctaveLayers': 4}, 0.2308826666148415
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 500, 'sift__nOctaveLayers': 5}, 0.2347367114753752
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 3}, 0.22581172100772795
